y4_hhid,labour_total,labore,labour_wage,labour_total_pola,labour_wage_pola,hourly_wage,hourly_wage_new
2845-001,7,22.4,20000,7,20000,892.85718,892.85718
2846-001,0,0,0,0,0,,
2848-001,6,19.200001,45000,6,45000,2343.75,2343.75
2849-001,0,0,0,0,0,,
2850-001,0,0,0,0,0,,
2866-001,2,6.4000001,15000,2,15000,2343.75,2343.75
2867-001,218,697.59998,0,218,709685.44,1017.3243,359
2881-001,39,124.8,0,39,132607.16,1062.5574,359
2882-001,4,12.8,50000,4,50000,3906.25,3906.25
2884-001,0,0,0,0,0,,
2885-001,16,51.200001,0,16,58457.441,1141.7468,359
2886-001,35,112,130000,35,130000,1160.7142,1160.7142
2888-001,17,54.400002,0,17,61681.34,1133.8481,359
2892-001,0,0,0,0,0,,
2900-001,0,0,0,0,0,,
2901-001,0,0,0,0,0,,
2902-001,0,0,0,0,0,,
2903-001,0,0,0,0,0,,
2904-001,0,0,0,0,0,,
2905-001,0,0,0,0,0,,
2906-001,33,105.6,134000,33,134000,1268.9395,1268.9395
2907-001,0,0,0,0,0,,
2919-001,0,0,0,0,0,,
2920-001,8,25.6,25000,8,25000,976.5625,976.5625
2921-001,0,0,0,0,0,,
2922-001,0,0,0,0,0,,
2923-001,0,0,0,0,0,,
2924-001,0,0,0,0,0,,
2925-001,5,16,0,5,22994.529,1437.1581,359
2926-001,21,67.199997,24000,21,24000,357.14288,357.14288
2938-001,6,19.200001,0,6,26218.43,1365.5432,359
2939-001,0,0,0,0,0,,
2940-001,6,19.200001,10000,6,10000,520.83331,520.83331
2941-001,0,0,0,0,0,,
2942-001,0,0,0,0,0,,
2943-001,0,0,0,0,0,,
2944-001,10,32,75000,10,75000,2343.75,2343.75
2957-001,0,0,0,0,0,,
2958-001,8,25.6,0,8,32666.232,1276.0247,359
2959-001,25,80,33000,25,33000,412.5,412.5
2960-001,4,12.8,2500,4,2500,195.3125,195.3125
2961-001,0,0,0,0,0,,
2962-001,8,25.6,0,8,32666.232,1276.0247,359
2963-001,0,0,0,0,0,,
2964-001,0,0,0,0,0,,
2977-001,0,0,0,0,0,,
2983-001,2,6.4000001,15000,2,15000,2343.75,2343.75
2996-001,4,12.8,20000,4,20000,1562.5,1562.5
2997-001,6,19.200001,0,6,26218.43,1365.5432,359
2998-001,0,0,0,0,0,,
2999-001,5,16,124000,5,124000,7750,7750
3000-001,41,131.2,80000,41,80000,609.7561,609.7561
3015-001,0,0,0,0,0,,
3016-001,9,28.799999,5000,9,5000,173.61111,173.61111
3018-001,7,22.4,6000,7,6000,267.85715,267.85715
3019-001,7,22.4,2500,7,2500,111.60715,111.60715
3020-001,5,16,0,5,22994.529,1437.1581,359
3022-001,8,25.6,15000,8,15000,585.9375,585.9375
3033-001,7,22.4,55000,7,55000,2455.3572,2455.3572
3034-001,44,140.8,113100,44,113100,803.26703,803.26703
3035-001,72,230.39999,165000,72,165000,716.14587,716.14587
3037-001,0,0,0,0,0,,
3038-001,24,76.800003,20000,24,20000,260.41666,260.41666
3039-001,12,38.400002,30000,12,30000,781.24994,781.24994
3040-001,4,12.8,90000,4,90000,7031.25,7031.25
3042-001,8,25.6,0,8,32666.232,1276.0247,359
3052-001,42,134.39999,290000,42,290000,2157.7383,2157.7383
3053-001,0,0,0,0,0,,
3058-001,39,124.8,30000,39,30000,240.38461,240.38461
3071-001,22,70.400002,40000,22,40000,568.18182,568.18182
3072-001,0,0,0,0,0,,
3073-001,58,185.60001,0,58,193861.28,1044.5112,359
3074-001,0,0,0,0,0,,
3075-001,2,6.4000001,0,2,13322.826,2081.6917,359
3076-001,20,64,60000,20,60000,937.5,937.5
3077-001,0,0,0,0,0,,
3078-001,34,108.8,120000,34,120000,1102.9412,1102.9412
3090-001,26,83.199997,34000,26,34000,408.65387,408.65387
3091-001,2,6.4000001,0,2,13322.826,2081.6917,359
3092-001,0,0,0,0,0,,
3093-001,0,0,0,0,0,,
3094-001,0,0,0,0,0,,
3095-001,6,19.200001,25000,6,25000,1302.0833,1302.0833
3096-001,7,22.4,100000,7,100000,4464.2856,4464.2856
3097-001,0,0,0,0,0,,
3109-001,0,0,0,0,0,,
3110-001,29,92.800003,0,29,100368.16,1081.5533,359
3114-001,12,38.400002,0,12,45561.836,1186.5061,359
3115-001,0,0,0,0,0,,
3116-001,6,19.200001,0,6,26218.43,1365.5432,359
3117-001,0,0,0,0,0,,
3128-001,0,0,0,0,0,,
3129-001,0,0,0,0,0,,
3130-001,26,83.199997,360000,26,360000,4326.9233,4326.9233
3131-001,110,352,1910000,110,1910000,5426.1362,5426.1362
3132-001,25,80,150000,25,150000,1875,1875
3133-001,84,268.79999,450000,84,450000,1674.1072,1674.1072
3134-001,52,166.39999,600000,52,600000,3605.7693,3605.7693
3135-001,28,89.599998,60000,28,60000,669.64288,669.64288
3147-001,0,0,0,0,0,,
3148-001,0,0,0,0,0,,
3149-001,8,25.6,12000,8,12000,468.75,468.75
3150-001,151,483.20001,745000,151,745000,1541.8046,1541.8046
3151-001,0,0,0,0,0,,
3152-001,0,0,0,0,0,,
3153-001,65,208,211000,65,211000,1014.4231,1014.4231
3154-001,3,9.6000004,30000,3,30000,3124.9998,3124.9998
3166-001,0,0,0,0,0,,
3167-001,0,0,0,0,0,,
3168-001,10,32,30000,10,30000,937.5,937.5
3169-001,0,0,0,0,0,,
3171-001,19,60.799999,96000,19,96000,1578.9474,1578.9474
3172-001,0,0,0,0,0,,
3173-001,49,156.8,49000,49,49000,312.5,312.5
3185-001,0,0,0,0,0,,
3186-001,0,0,0,0,0,,
3187-001,0,0,0,0,0,,
3188-001,0,0,0,0,0,,
3189-001,0,0,0,0,0,,
3190-001,0,0,0,0,0,,
3191-001,36,115.2,78000,36,78000,677.08337,677.08337
3192-001,0,0,0,0,0,,
3204-001,14,44.799999,80000,14,80000,1785.7144,1785.7144
3205-001,0,0,0,0,0,,
3206-001,0,0,0,0,0,,
3207-001,0,0,0,0,0,,
3208-001,184,588.79999,371000,184,371000,630.09509,630.09509
3209-001,75,240,270000,75,270000,1125,1125
3210-001,0,0,0,0,0,,
3211-001,0,0,0,0,0,,
3223-001,12,38.400002,80000,12,80000,2083.3333,2083.3333
3224-001,28,89.599998,151000,28,151000,1685.2679,1685.2679
3225-001,0,0,0,0,0,,
3226-001,0,0,0,0,0,,
3227-001,72,230.39999,380000,72,380000,1649.3055,1649.3055
3229-001,27,86.400002,190000,27,190000,2199.074,2199.074
3230-001,14,44.799999,163000,14,163000,3638.3928,3638.3928
3243-001,36,115.2,100000,36,100000,868.0556,868.0556
3244-001,32,102.4,55000,32,55000,537.10938,537.10938
