y4_hhid,male_hours,male_days,female_hours,female_days,children_hours,children_days,kids_hours,kids_days,teenagers_hours,teenagers_days
2026-001,90.0,17.0,,,,,,,,
2027-001,148.0,20.0,148.0,20.0,0.0,0.0,0.0,0.0,,
2028-001,245.0,56.0,,,40.0,9.0,40.0,9.0,,
2029-001,176.0,22.0,40.0,5.0,,,,,,
2030-001,660.0,188.0,650.0,186.0,421.0,119.0,,,421.0,119.0
2031-001,84.0,12.0,,,,,,,,
2032-001,35.0,14.0,,,,,,,,
2033-001,,,57.0,11.0,,,,,,
2045-001,,,504.0,78.0,448.0,70.0,224.0,35.0,224.0,35.0
2046-001,259.0,37.0,210.0,30.0,,,,,,
2047-001,,,520.0,88.0,,,,,,
2048-001,258.0,43.0,258.0,43.0,,,,,,
2049-001,80.0,19.0,106.0,26.0,38.0,9.0,38.0,9.0,,
2050-001,48.0,9.0,48.0,9.0,,,,,,
2051-001,108.0,54.0,,,16.0,8.0,16.0,8.0,,
2052-001,856.0,242.0,484.0,135.0,,,,,,
2064-001,50.0,10.0,,,60.0,12.0,,,60.0,12.0
2065-001,900.0,180.0,955.0,191.0,890.0,178.0,890.0,178.0,,
2066-001,839.0,255.0,944.0,288.0,362.0,100.0,362.0,100.0,,
2067-001,767.0,141.0,861.0,159.0,444.0,82.0,,,444.0,82.0
2068-001,146.0,63.0,286.0,123.0,151.0,59.0,151.0,59.0,,
2069-001,580.0,116.0,545.0,109.0,,,,,,
2070-001,,,134.0,59.0,273.0,121.0,99.0,42.0,174.0,79.0
2072-001,,,601.0,154.0,545.0,155.0,121.0,46.0,424.0,109.0
2083-001,354.0,72.0,909.0,191.0,,,,,,
2084-001,,,,,,,,,,
2085-001,,,,,,,,,,
2086-001,516.0,78.0,,,,,,,,
2087-001,99.0,15.0,107.0,16.0,,,,,,
2088-001,148.0,46.0,150.0,47.0,,,,,,
2089-001,,,294.0,86.0,220.0,64.0,122.0,36.0,98.0,28.0
2090-001,43.0,18.0,109.0,48.0,70.0,28.0,40.0,14.0,30.0,14.0
2102-001,685.0,137.0,685.0,137.0,,,,,,
2103-001,573.0,111.0,573.0,111.0,,,,,,
